coordinate,frequency,omega,peak_rank,n_seed,p_value_adjusted,exclusion_half_width
z,1.31982421875,8.292700139309776,1,1024,8.036975365870574e-118,0.06
z,1.5625,9.817477042468104,2,1024,0.011677727843101044,0.06
z,2.6181640625,16.450409969285616,3,1024,2.630481610717262e-07,0.06
