frequency,coordinate,n_seed,c1_f_mean_real,c1_f_mean_imag,c1_f_abs,c1_f_p,c2_2f_mean_real,c2_2f_mean_imag,c2_2f_abs,c2_2f_p,c3_f_mean_real,c3_f_mean_imag,c3_f_abs,c3_f_p,c3_3f_mean_real,c3_3f_mean_imag,c3_3f_abs,c3_3f_p,c4_2f_mean_real,c4_2f_mean_imag,c4_2f_abs,c4_2f_p,c4_4f_mean_real,c4_4f_mean_imag,c4_4f_abs,c4_4f_p
2.265625,x,256,0.032486188919154224,-0.011769212959696275,0.03455237827099115,0.6079474426137561,0.18688909654420127,-0.37248866525443214,0.4167437343861767,0.003968728077562522,-0.2931565508567331,-0.5410893873140988,0.6154010792760792,0.9819868904036112,0.01792090599979096,0.00017284085527490348,0.017921739475134542,0.488926683100659,-13.081065421517811,24.713870803439924,27.962290368479284,0.00157563244904907,-0.0419899804808192,0.01698162719100338,0.04529386407488108,0.9261885511997939
2.265625,y,256,0.04857254640710418,0.03430696723903027,0.059466463368945906,0.6139051769279456,1.2382906752102654,0.15720617018656224,1.2482297770272193,0.004115162897949325,0.5459014618750024,-0.9419019988663053,1.0886633003576478,0.9814873934734938,0.028101180479961546,0.08282544301072912,0.08746273694717602,0.34837818047322916,-82.64424287605462,-12.272440140113059,83.55048574095164,0.0017605045887381038,-0.11063685499781101,-0.09272972367904254,0.14435828808003454,0.7164983109831058
2.265625,z,256,0.05162216626703968,-0.17710994945982889,0.1844797610790003,0.00020167796179803405,-0.8900823924279362,0.06556777155786356,0.8924941445058913,0.127370016533919,-1.2672186074339153,6.778140610838912,6.8955806963105335,0.2580754853425564,-0.052367638272023224,0.02950452032484901,0.06010728955616698,0.5670969450681087,56.1767024456405,1.11432470678891,56.18775326722178,0.12395765740213008,0.6676337382081784,-0.5931622631443415,0.8930712618891863,0.042448448992674526
1.0546875,x,256,-0.011828637321007397,-0.07630181145023629,0.07721323132377857,0.740072811081671,0.24110280689254304,3.0060936956978157,3.0157469838840285,0.24640070882797308,4.522982118158502,12.987807385758643,13.752836359484116,0.35563991031459835,-0.18588156703727426,-0.7699795455641236,0.7920987675481934,0.3104904252409877,-27.836793084479893,-182.6091609121161,184.7186852980912,0.25429299277767253,3.2143730950632037,-6.053129310135578,6.853653685406684,0.2142563399116638
1.0546875,y,256,0.042470331731573704,-0.08374874582890626,0.09390197817567349,0.7337926371947283,-3.7477292593642964,3.3252360595177777,5.010256425874086,0.24567869699461528,-4.426872151948218,15.949392636941347,16.5523509670685,0.3537043545535708,1.3233724455892188,-1.1456152706141778,1.7503568144836028,0.31481430530146715,214.94848078146842,-219.36973042183803,307.1252643720656,0.25306404394649873,19.625712116636468,2.6687354034406052,19.80633042081922,0.19479758765069274
1.0546875,z,256,0.06515026590454585,0.15664285707238346,0.16965123583172678,0.22937642620002535,0.6851172418171747,-0.32897580041015195,0.7600070475269773,0.9346255118853588,-5.434546073336524,7.705379095024961,9.429059233097707,0.6113135762151388,-0.8598936289657753,0.9867646414386659,1.3088626783316535,0.47019735107253957,-57.655183002078985,56.53113574114667,80.74583230846758,0.825596328320349,13.702507430002672,3.2410965518768413,14.080604274244283,0.313322756177097
0.765625,x,256,0.09316620421100266,0.0021446412471835125,0.09319088524724599,0.7564542932893124,-0.7359204054807844,-3.2295600459859406,3.312346137382341,0.4174304533911677,-14.870125427759598,5.856126886957316,15.981703674935503,0.4316910061802165,0.19213132562945923,-2.1163335170385618,2.1250369412386556,0.4420755384188024,21.155767081086875,220.74196427797403,221.7534244923572,0.35845920933036785,2.515163716417865,-5.514621057648415,6.061113258292098,0.9043011936854516
0.765625,y,256,0.09116131635097541,0.046893111457845645,0.10251511840231445,0.7602671747949253,2.3546114418348005,-3.9396548213718754,4.589670484204506,0.4185991754385596,-17.677812529145495,-1.2969424672794565,17.72532413184725,0.43165896254361236,3.1733044468474763,-1.8561405781223774,3.676291468060502,0.45345059237935204,-190.2673213735954,241.2137652894335,307.2226133405367,0.3595866768986794,12.775582713151433,-0.7633746485087727,12.798369213089597,0.9091708024670688
0.765625,z,256,0.0017322229907428127,0.09636174864888467,0.09637731682901575,0.5513862827069844,0.04653835235032022,-9.140556712281901,9.140675184508046,0.29421677281222314,5.163234257025022,2.345530970559592,5.671023146379404,0.8039123385471482,2.5778910444895153,-2.8428261777925616,3.837601192724683,0.10230427204732113,-44.51900834225612,506.4720610583593,508.4249116009957,0.3657531736266747,10.320560262152913,23.1975916785862,25.38980550951782,0.7630038866388471
3.1484375,x,256,-0.01724424632785941,0.006391204431202039,0.018390528146230857,0.33806354594094945,-0.020436298558929863,0.012929981293779737,0.024183190754059166,0.7482837270813191,0.372877455177995,-0.16313169724139065,0.4070006722658753,0.9505726278511998,-0.0009961478502773999,0.0019445919202407146,0.002184890907088442,0.7524107146476758,1.2291566090804646,-1.504676402528024,1.942904281216875,0.5913388218672329,0.1753081924458865,-0.045913183109633014,0.1812208120550801,0.12576200103481672
