omega,forcing_amp,output_i,forcing_j,real,real_ci_low,real_ci_high,imag,imag_ci_low,imag_ci_high,amplitude,amplitude_ci_low,amplitude_ci_high,phase,phase_ci_low,phase_ci_high
6.62679700366597,0.001,x,x,-47.73159732439252,-121.82324661551657,26.647184368680367,-14.043139268036084,-79.7432596895937,50.344401807971146,49.754548974334114,318.9134439588428,409.5979998850524,2.855455712308339,-20.990141674908138,36.11660850809755
6.62679700366597,0.001,x,y,-10.705543000506442,-86.48421526665874,63.800356081170115,-11.088641931726919,-82.92505587031218,58.521921574102045,15.413196645269435,332.6283100746005,431.4939032828111,2.3386182659766632,-37.51338662843033,84.49949270583214
6.62679700366597,0.001,x,z,61.192498316054994,-9.133412750814315,133.99071512320833,67.3681709035117,-3.041998037944919,139.4300990731524,91.01094605070949,335.5066310422973,427.1039495987383,-0.8333982940274093,-1.6826905603355105,0.032942608313648335
6.62679700366597,0.001,y,x,-55.600663851809024,-139.39889667484786,33.02839047706052,17.41833275927231,-61.64855954906687,95.47954591199715,58.26518803603573,380.0094417939035,488.30073768405583,-2.8380013214491315,-20.373178942522788,11.700414058967045
6.62679700366597,0.001,y,y,-17.15343311289559,-114.3510537187447,84.93470629646973,-4.039570447610878,-86.52331299590955,76.29258548970604,17.62266713524925,397.3144889160645,520.447662481707,2.910310395920742,-43.661907677680915,54.300331927046315
6.62679700366597,0.001,y,z,103.17851906242623,16.489194329321823,188.45090550394596,26.949816575183576,-61.19871885522041,107.36516532247718,106.64004599282342,400.96269046258897,507.163530777141,-0.2554880026422918,-1.1423006503451065,0.6585612161949352
6.62679700366597,0.001,z,x,-20.651407504742227,-88.40710469742343,48.90254343950448,-27.31914450763559,-99.47599446667508,48.25357950717716,34.24640548372923,328.5654364726934,419.10224580354424,2.218082930941726,-19.61391130968673,36.45718831158918
6.62679700366597,0.001,z,y,-11.298120121179668,-94.84344404824866,70.15550110406542,-10.635237361020035,-85.14947693210307,68.82727882914585,15.516307292582255,367.942167944657,472.086930042014,2.386407878384503,-38.81699986609696,42.56768458466752
6.62679700366597,0.001,z,z,-54.74052127739371,-132.24254193624756,22.73915302404349,-23.469388198446,-91.90565844007685,51.84539448649252,59.55952360563464,321.7209760702697,425.8148332990953,2.7365594327492384,-24.501804167378193,25.007533021361372
6.62679700366597,0.003,x,x,4.9816010893441955,-15.34579087470594,26.855217545995007,21.814674459553007,-6.117313534245253,49.47295030985855,22.376245690232075,106.75373123822213,143.72731017411098,-1.3462860101263998,-28.956797355192318,15.872006791931762
6.62679700366597,0.003,x,y,-1.3283021583838375,-25.291704887881508,21.27175282747524,-5.75967806887828,-34.0560582616376,19.816984876576207,5.910861027048817,117.12270714906909,146.2755381356813,1.7974543424118163,-41.85486691793331,32.06308530551423
6.62679700366597,0.003,x,z,7.48099688668985,-14.50970296211733,30.277612424720974,-25.703820051086854,-52.96312528930852,0.6851242137132996,26.770350756710638,115.1344089910097,144.96635138108888,1.2875742162150599,-5.83956392127121,7.558456326030991
6.62679700366597,0.003,y,x,18.96832830291946,-14.067914461497121,48.686632549489694,18.435964143451116,-9.761696398811745,45.118533747563426,26.451507565844913,128.59550783549784,169.69909782483174,-0.7711664220102734,-10.615605966645086,21.47614539906975
6.62679700366597,0.003,y,y,-5.475063862902267,-33.583583162233786,22.378519716309444,-4.863513664404036,-38.69916251931915,27.36495411416078,7.323256752750314,141.0978716503087,176.76970012402748,2.415277900974379,-31.69939576048829,35.81063004478909
6.62679700366597,0.003,y,z,-9.890741323317265,-37.40685046762486,16.937998162374168,-30.644960991239405,-61.46180323802269,1.580280268535034,32.201558938650166,137.9677223342173,175.08559940020987,1.8829942028827398,-7.580760016632997,18.318482592324163
6.62679700366597,0.003,z,x,3.3947743028346324,-21.0669762592495,27.17455506541389,10.10463978590375,-14.238120595238534,33.289201431578,10.659654674052783,108.2815384776113,140.1852916686012,-1.2466819022648534,-55.82446430609728,55.75617153530708
6.62679700366597,0.003,z,y,4.778027853601534,-21.637164385911355,32.12573908212126,14.035563950493621,-10.217074138454755,38.46582237468308,14.826550697252149,117.13516711779027,146.07159462284142,-1.2426787603248544,-20.720844979609865,23.596064803281198
