omega,forcing_amp,forcing_direction,output,R21,R21_ci_low,R21_ci_high
6.62679700366597,0.001,x,x,0.6846985495965274,0.5182002270830863,0.9329890147719213
6.62679700366597,0.001,x,y,0.990299219378465,0.7083554616704592,1.4111721522436214
6.62679700366597,0.001,x,z,0.5649298664312828,0.45206550210570773,0.6995090999105542
6.62679700366597,0.001,y,x,0.7390376131491664,0.55515987643563,0.9567895390927776
6.62679700366597,0.001,y,y,1.0868169637157814,0.7570445382108099,1.5025227585870289
6.62679700366597,0.001,y,z,0.6031441706807277,0.4590554102847728,0.7890323985098692
6.62679700366597,0.001,z,x,0.922360892748189,0.5515118361926937,1.4452604595790342
6.62679700366597,0.001,z,y,1.5102469794507534,0.7346258217246107,2.614890706006559
6.62679700366597,0.001,z,z,0.6773718747099907,0.4148272229652499,1.1300703226137483
6.62679700366597,0.003,x,x,0.5084473981176716,0.4162721769857557,0.6125585943160794
6.62679700366597,0.003,x,y,0.7118783024390285,0.5849826706880424,0.8642661249522764
6.62679700366597,0.003,x,z,0.6672347598222075,0.523210945469365,0.8365296779934684
6.62679700366597,0.003,y,x,0.6392000338689138,0.45454306013299434,0.8955442062066734
6.62679700366597,0.003,y,y,0.8613849377652021,0.6209035019467298,1.1719261152170068
6.62679700366597,0.003,y,z,0.6146117015772823,0.4637338341132193,0.780242926728562
6.62679700366597,0.003,z,x,0.7494446148344227,0.4828096224641924,1.1439109196056492
6.62679700366597,0.003,z,y,1.0320537778424705,0.667017864500531,1.5617480741179297
6.62679700366597,0.003,z,z,0.6851701264115411,0.5354810109591043,0.8627107338488712
6.62679700366597,0.01,x,x,0.5192802586039635,0.4155307870787607,0.6343545239175261
6.62679700366597,0.01,x,y,0.7139135537798051,0.5711144808468076,0.8662594565728954
6.62679700366597,0.01,x,z,0.7104572909955436,0.5114696141590883,0.9952638515411083
6.62679700366597,0.01,y,x,0.5262017416163994,0.3865168693919241,0.7115765636309925
6.62679700366597,0.01,y,y,0.752997590858338,0.5357705182427934,1.0537456290148561
6.62679700366597,0.01,y,z,0.7076668637583567,0.5466537054650774,0.9150157177282701
6.62679700366597,0.01,z,x,1.10460505713508,0.5652105944429304,1.824520818378735
6.62679700366597,0.01,z,y,1.5978005293745592,0.7632988354970968,2.7194406873699
6.62679700366597,0.01,z,z,0.69478124268389,0.4957935599362715,0.953558657713699
6.62679700366597,0.03,x,x,0.7230583690315548,0.5469689323269863,0.9319445028032726
6.62679700366597,0.03,x,y,1.0102314753646278,0.7581007661703055,1.2918625972518754
6.62679700366597,0.03,x,z,0.6890538437344311,0.50938512951699,0.9086254355081618
6.62679700366597,0.03,y,x,0.5545449243965028,0.43736969411080057,0.6995500902919467
6.62679700366597,0.03,y,y,0.7571167853211394,0.5877894897798045,0.9349397511416945
6.62679700366597,0.03,y,z,0.7731267855748574,0.5529191172029359,1.0298610737366887
6.62679700366597,0.03,z,x,0.6802511646583423,0.5037519032315249,0.9282781496552631
6.62679700366597,0.03,z,y,0.9305411062574881,0.7019335753799284,1.2510360518449937
6.62679700366597,0.03,z,z,0.6467704145879747,0.4550247885573519,0.9204087023474992
6.62679700366597,0.1,x,x,0.770527501130639,0.4696105548463295,1.263039039855516
6.62679700366597,0.1,x,y,1.2013624361575295,0.6572228073537786,2.127684828376725
6.62679700366597,0.1,x,z,0.5883148728436074,0.44410644751552614,0.7500696061305929
6.62679700366597,0.1,y,x,0.6128527042840841,0.4421265832085747,0.8534400818818778
6.62679700366597,0.1,y,y,0.8378441273675001,0.6072934907642996,1.1482173504248288
6.62679700366597,0.1,y,z,0.6372576305375328,0.513698074925393,0.7763671013405642
6.62679700366597,0.1,z,x,0.6477723424749109,0.47849301526142685,0.8564318368645252
6.62679700366597,0.1,z,y,0.9275388233958479,0.6597900222796091,1.2910022268781558
6.62679700366597,0.1,z,z,0.7822697557637348,0.5658938672801729,1.0509000394038264
6.62679700366597,0.3,x,x,0.6950251937416407,0.5361134452765874,0.8827717766169962
6.62679700366597,0.3,x,y,0.9484131845667603,0.741816854579798,1.195300075882678
6.62679700366597,0.3,x,z,0.5537410591561955,0.45703096072053623,0.6593544584025703
6.62679700366597,0.3,y,x,0.5519349031722378,0.3696545510029672,0.8370896832572297
6.62679700366597,0.3,y,y,0.6667272918810104,0.5147569048764464,0.8411316646160808
6.62679700366597,0.3,y,z,0.5893472359786476,0.46717931142095304,0.7259557405259665
6.62679700366597,0.3,z,x,0.48005782903801725,0.38914020004704264,0.5830914064232232
6.62679700366597,0.3,z,y,0.6535648471435227,0.5262968920728565,0.7943878810092098
6.62679700366597,0.3,z,z,0.6416934626549399,0.46183300546152223,0.8443878910411569
6.62679700366597,1.0,x,x,0.5670361840373819,0.46102547020476387,0.6962329670581766
6.62679700366597,1.0,x,y,0.8880710918813024,0.6680773610572084,1.1841402660417792
6.62679700366597,1.0,x,z,0.624659646832862,0.4769235717123616,0.795519257430762
6.62679700366597,1.0,y,x,1.118529821995184,0.45179523477609945,2.328389323048342
6.62679700366597,1.0,y,y,1.020412810008162,0.621938089019588,1.6582732956068535
6.62679700366597,1.0,y,z,0.558346010256634,0.43295088237358537,0.6996341833296716
6.62679700366597,1.0,z,x,0.5419593227154785,0.41979153024433075,0.6852713925798304
6.62679700366597,1.0,z,y,0.7269662313911616,0.5607070830308536,0.9125381578846435
6.62679700366597,1.0,z,z,0.8197422214168244,0.4819168669166323,1.3213898371835218
