omega,forcing_amp,forcing_direction,output,harmonic,signal_amp,signal_amp_ci_low,signal_amp_ci_high,noise,noise_ci_low,noise_ci_high,snr,snr_ci_low,snr_ci_high,hotelling_T2,hotelling_F,hotelling_p,raw_forced_target_amp,raw_forced_target_amp_ci_low,raw_forced_target_amp_ci_high,ellipse_center_cos,ellipse_center_sin,ellipse_axis_major,ellipse_axis_minor,ellipse_angle_rad
6.62679700366597,0.001,x,x,1,0.4602768533866495,0.3966585324782813,0.5310244504327656,0.5165861527560094,0.5030698787736377,0.530645952304793,0.9003765326337381,0.7698560630087183,1.0335246206782565,0.19520543654096842,0.09605346877412732,0.9085503563517855,0.46027685338664964,0.3967201081864288,0.5295206681669788,-0.010020658763821993,0.01834568563448752,0.1271043508316238,0.1120496243816072,2.80610442816261
6.62679700366597,0.001,x,x,2,0.20759393063647788,0.18359407819078324,0.23113668372866156,0.20576803548715616,0.20032297173365285,0.21130065263712774,1.0220973841477132,0.8971116537500041,1.1467316613788638,0.8098255121119867,0.3984855694519299,0.6730429270132259,0.20759393063647788,0.183111270512871,0.23073832879215114,0.005537525105813059,0.016409446596638736,0.05558113526212932,0.04712578868389424,2.3276745687962324
6.62679700366597,0.001,x,x,3,0.0638385831344665,0.056637910235833984,0.07201925201725394,0.06482462151058183,0.06304784942811134,0.06671049348680463,0.9973777917706039,0.8695936903002784,1.1213555654924123,3.058785947166828,1.5051168946376456,0.22998992474871516,0.06383858313446648,0.056128561431097075,0.07126063939455503,-0.01047288476358793,0.005895129114126505,0.01763911444275285,0.01384788134070295,2.4043812936299664
6.62679700366597,0.001,x,x,4,0.02174871674602557,0.018944830016496918,0.02458717286492468,0.021377997608823023,0.02080138611530025,0.021905189260395537,1.0197795348242853,0.8970161161639992,1.151254808142165,3.7839960180729006,1.8619662946073003,0.16395044011347415,0.021748716746025548,0.019081510688048562,0.024690729526809757,-0.004260663336362796,-0.0010458985717924324,0.005926887521924762,0.004939574367670556,-2.458899757878467
6.62679700366597,0.001,x,y,1,0.5534516388971347,0.4749473412339985,0.632946233088729,0.6189281890341689,0.6024622099732722,0.6346541786667437,0.9030363894700009,0.7740175472363703,1.0323337108789041,0.21023139035181665,0.10344719207787803,0.9018789468954749,0.5534516388971347,0.47220291742911735,0.6359249982332965,0.006495506548937698,0.02467352452669973,0.152449477863917,0.13497418456245816,2.232271804940719
6.62679700366597,0.001,x,y,2,0.34411266199269513,0.30613003306190884,0.38639674702759097,0.3412775139347744,0.331868942235126,0.3506738162487171,1.022552748613409,0.9053070475058168,1.1474863468263252,1.0755539392871087,0.5292408272682598,0.5916891178861481,0.3441126619926953,0.3058122408285678,0.38634829733691856,0.03163449241629517,0.008644932965034675,0.09225159359978291,0.07808178764832456,1.4225019945317792
6.62679700366597,0.001,x,y,3,0.13942143306910265,0.1222680596388597,0.15761390417179447,0.14228763738953287,0.13830236153618708,0.1462398958083674,0.9880306683186454,0.8649678715440351,1.1240714772706053,2.957888794896152,1.4554690895520748,0.2411503535360331,0.13942143306910265,0.12213159566929958,0.15725391115313875,0.005578228788998617,0.026077664666221835,0.0392231078725086,0.029929257384812093,1.3215138997735298
6.62679700366597,0.001,x,y,4,0.05684407465942018,0.04960997944823141,0.06426940400861482,0.05891412297359179,0.057486783334945384,0.060215662691968735,0.9653918506804082,0.8401035242907811,1.0950008296999145,2.6607648268095065,1.3092652322395983,0.2773786188413445,0.05684407465942019,0.049782445444863474,0.06396506186036961,-0.0027257884659719037,0.009397269161315317,0.015400404273567671,0.013026853903977289,2.137096235562308
6.62679700366597,0.001,x,z,1,0.5140034632590074,0.4587762707052773,0.5750980414341034,0.5225178458313091,0.5094823267977897,0.5356588055595982,0.9900331732941254,0.8819093358123015,1.094300952432264,1.161111641596133,0.5713406490393669,0.5677128941253959,0.5140034632590071,0.4546536041547756,0.5789674290290816,-0.005153483341651671,-0.05095300585161417,0.13499036638480363,0.11955348805383766,-3.024549295364107
6.62679700366597,0.001,x,z,2,0.22300590881792576,0.19610119338493995,0.24936314062163112,0.23246081992115986,0.22759955042176,0.23721256388127565,0.966933361634323,0.851655704818057,1.0909627871705156,1.5261500456436399,0.7509627208722672,0.4761553503839353,0.22300590881792592,0.19704157821080256,0.2513827175542303,-0.01839676418772425,-0.019268709120644552,0.059424874530714884,0.05192025204260056,3.057481936527141
