omega,forcing_amp,output_i,forcing_j,forcing_k,H_mean,H_mean_ci_low,H_mean_ci_high,H_cos2,H_cos2_ci_low,H_cos2_ci_high,H_sin2,H_sin2_ci_low,H_sin2_ci_high,H_abs_2omega,H_abs_2omega_ci_low,H_abs_2omega_ci_high,H_phase_2omega,independent_symmetric_entry,nonzero_by_ci
6.62679700366597,0.001,z,x,z,-5351.201353298791,-13798.546175657193,3563.534166985215,-6828.222335670267,-34320.04774375667,21936.45978542138,-25167.234961802125,-50857.640263869405,-1060.9621068504193,139533.5493149883,124136.11395290848,154888.6062778981,1.8357324423645556,True,True
6.62679700366597,0.003,y,x,x,-18675.537746143546,-65531.20539589607,29574.52489393054,4810.991957633533,-17340.561162548773,26537.839066947174,-16679.813293878793,-32871.76551567264,-701.9365126307641,101285.28295184526,89479.55740666356,114035.09155176418,1.28998586901518,True,True
6.62679700366597,0.01,y,y,z,805.0690229276295,-69.87403235893593,1666.4378678039911,-37.868121509613104,-398.73552595406966,342.19167952633194,302.17801578939543,30.737233575688975,581.5788515469111,1666.553486833539,1444.453679185038,1903.119953368411,-1.6954636899663071,True,True
6.62679700366597,0.03,x,x,z,-118.70547684968466,-215.41599701703174,-21.281047150822317,4.450885212811411,-18.31126498758217,26.624820628251683,2.6489077040630016,-19.948908606720224,26.0241808159177,115.41405541582449,99.52791480184965,131.47650019434826,-0.5368396147626955,True,True
6.62679700366597,0.03,y,x,z,-116.87114036647252,-220.7999228036858,-21.432663622987416,11.618522855747603,-22.68448032919832,47.183160697954825,-3.610304612355648,-41.18341175297109,36.91679238699007,191.69523512978137,166.55710184318613,217.6915378007089,0.3012778882736674,True,True
6.62679700366597,0.1,z,x,y,-0.004334670192538748,-1.1523042461094373,1.1134327423636199,-2.786336334387225,-4.991483007355425,-0.5037858675806455,-4.693031833942876,-7.104069095969374,-2.1908316215595613,12.97147172727845,11.361585264207433,14.629718573276769,2.1065837256145135,True,True
6.62679700366597,0.3,x,y,z,0.1998190457445561,-0.7465162056335614,1.1048389078023766,0.4483914951607467,0.23420633129862073,0.6670174844212109,-0.04295974181256236,-0.2510949118243611,0.1914921077591558,1.2004555749063286,1.065894079039102,1.3405056514469926,0.09551700917680464,True,True
6.62679700366597,0.3,x,z,z,-0.08687010434780351,-4.964408960169688,4.582124901558246,1.1408351023434515,0.07408375730640235,2.203177992200647,-0.11298723930647486,-1.1909184618657516,1.0727725579810392,5.8452137668603115,5.144000333162767,6.594521703728173,0.09871713924502361,True,True
6.62679700366597,0.3,y,y,z,0.20015431296023015,-0.7075270190868408,1.0933334831712496,0.39212313957157674,0.06169305649193522,0.7279658864338389,-0.6373023338632089,-1.019705756081417,-0.2599350387790635,1.9948622047736233,1.7575533043433658,2.230868397108675,1.0192129484098815,True,True
6.62679700366597,1.0,x,y,z,0.10630702017980628,0.01184973684706575,0.1926940181279198,0.00021769262255599223,-0.022139143477615864,0.021775889466168014,-0.005654924235120403,-0.025216190616540134,0.013074693308318428,0.10643092056952208,0.09369713031465458,0.11914622487922272,1.5323192097854952,True,True
6.62679700366597,1.0,y,y,z,0.10643598551670219,0.017781994774040664,0.1951683714851417,-0.007020268413884534,-0.03966476106149949,0.02608141924973338,-0.005971391214912223,-0.04018803951197011,0.029733606049160838,0.1748140360156533,0.15414020382916696,0.1965533436928597,2.436754419388191,True,True
6.62679700366597,1.0,z,y,y,0.055320375212120645,0.0077291169887367455,0.1008371577891593,-0.005706379959982404,-0.1052195233028424,0.09617686761726275,0.05278227063505894,-0.06801316087546083,0.16920339980106106,0.5714434417398127,0.4989304553135337,0.6436564297734046,-1.678489728393323,True,True
