omega,amplitude,output,forcing_direction,odd_l2,even_l2,odd_over_a_l2,two_even_over_a2_l2,odd_unexpected_harmonic_ratio,even_unexpected_harmonic_ratio
8.295768100885548,0.08,0,2,0.5768455851547204,0.8998981238996335,7.210569814434005,281.2181637186354,0.6886720567432872,0.601383081480306
8.295768100885548,0.08,1,2,0.6546714947422282,1.0210966367249268,8.183393684277855,319.09269897653957,0.670947987491686,0.6358137339915323
8.295768100885548,0.08,2,2,1.8932855783260134,3.1699169840450865,23.666069729075165,990.5990575140897,0.2301645566849243,0.973486971005107
8.295768100885548,0.04,0,2,0.5500835470613924,0.9180066343149426,13.752088676534816,1147.5082928936783,0.7229030976688222,0.6345160070436422
8.295768100885548,0.04,1,2,0.6158361907396297,1.0437697154711156,15.395904768490738,1304.7121443388937,0.7086435848538613,0.6697811401075555
8.295768100885548,0.04,2,2,1.9761123384972328,3.098258652332033,49.40280846243083,3872.823315415044,0.17412622058584676,0.9729671472572281
8.295768100885548,0.02,0,2,0.5372038943618148,0.8851148856765626,26.860194718090725,4425.5744283828135,0.7165029448389456,0.6165893391706717
8.295768100885548,0.02,1,2,0.6020554259336178,1.0082590496944355,30.102771296680892,5041.2952484721745,0.6999090232481043,0.6593564103996081
8.295768100885548,0.02,2,2,1.9547833568567574,3.007124776869884,97.73916784283787,15035.623884349416,0.16031619901751773,0.9554500730147703
8.295768100885548,0.01,0,2,0.5285238834249951,0.9151294926180683,52.85238834249951,18302.589852361365,0.6750890601097521,0.6249523932279685
8.295768100885548,0.01,1,2,0.5947086097337233,1.029783286341769,59.47086097337236,20595.665726835385,0.6789571652602632,0.6620634593943591
8.295768100885548,0.01,2,2,2.0937355450678647,3.000728381512602,209.37355450678646,60014.567630252044,0.1744504357971863,0.973294798833964
8.295768100885548,0.005,0,2,0.5815207995421915,0.962723745337604,116.30415990843834,77017.8996270083,0.6942396990206476,0.5741101835251953
8.295768100885548,0.005,1,2,0.6577436587574165,1.0741096533361847,131.54873175148325,85928.77226689478,0.6933267791136322,0.6151596634622728
8.295768100885548,0.005,2,2,1.7748392154518275,3.1078316676431563,354.9678430903656,248626.53341145255,0.18574793968249698,0.9671819751414875
16.453477930861386,0.08,0,2,0.6687104594304294,1.0231184197866274,8.358880742880364,319.724506183321,0.8617470111249583,0.3232876229778976
16.453477930861386,0.08,1,2,0.7066613436467691,1.0955514918979237,8.833266795584612,342.35984121810117,0.7704496714647484,0.47835781846738684
16.453477930861386,0.08,2,2,0.4817820162713868,0.6906769032358184,6.022275203392336,215.83653226119324,0.19385602071529046,0.9375412601398959
16.453477930861386,0.04,0,2,0.6108069797024692,0.9706310434395012,15.270174492561726,1213.2888042993761,0.8582144869766642,0.36536299448263426
16.453477930861386,0.04,1,2,0.6575999693828722,1.0478874264637512,16.4399992345718,1309.8592830796895,0.7703292093671628,0.5256711802213275
16.453477930861386,0.04,2,2,0.44468950708406524,0.7046281193672547,11.117237677101633,880.7851492090681,0.1664640787536007,0.9522186986422834
16.453477930861386,0.02,0,2,0.6228156066366164,1.0764022019057242,31.140780331830815,5382.011009528619,0.8747575748195762,0.3181210887827039
16.453477930861386,0.02,1,2,0.6649491650951469,1.1414051052674559,33.247458254757326,5707.025526337279,0.7751906840981841,0.46182669507301694
16.453477930861386,0.02,2,2,0.4290914656200258,0.8029731157412449,21.45457328100129,4014.865578706224,0.20309623458051895,0.9550700028468492
16.453477930861386,0.01,0,2,0.691378957710255,1.121543653749641,69.13789577102548,22430.873074992833,0.9142438992981956,0.3402373672556931
16.453477930861386,0.01,1,2,0.7198500441640554,1.1951553803131592,71.98500441640554,23903.10760626318,0.8295919106667913,0.48532295484705146
16.453477930861386,0.01,2,2,0.460446441989135,0.7871083078251229,46.044644198913495,15742.166156502459,0.20843783456879975,0.9570768005798296
16.453477930861386,0.005,0,2,0.7174854224468409,0.9645441748895603,143.4970844893681,77163.5339911648,0.8999152761796397,0.3570066311882042
16.453477930861386,0.005,1,2,0.7494160706665368,1.0402209267343836,149.8832141333074,83217.67413875068,0.812889717706615,0.49348058555814006
16.453477930861386,0.005,2,2,0.4213658318022318,0.7670143127299711,84.27316636044631,61361.14501839769,0.1943912758696928,0.961477232732195
24.638799415019168,0.08,0,2,0.7513645084988038,1.1443385112338946,9.392056356235038,357.605784760592,0.9673979268844995,0.1350453468799187
24.638799415019168,0.08,1,2,0.7580637158715158,1.1588067882094184,9.475796448393949,362.12712131544316,0.9354047293804467,0.2687256935340621
24.638799415019168,0.08,2,2,0.16937995290743843,0.3041833427668234,2.1172494113429794,95.05729461463233,0.4558501453102778,0.811776742520572
24.638799415019168,0.04,0,2,0.7242084865894178,1.254667106298902,18.10521216473545,1568.3338828736273,0.9293974124062467,0.1511833581253354
24.638799415019168,0.04,1,2,0.7343897388462444,1.2734110152703642,18.35974347115611,1591.7637690879544,0.8781147377827906,0.2791611835110706
24.638799415019168,0.04,2,2,0.15714538512304374,0.3040503454747019,3.928634628076091,380.0629318433774,0.45760419499222327,0.8650282880024085
24.638799415019168,0.02,0,2,0.7001415091454505,1.0830785422478073,35.007075457272514,5415.392711239039,0.9567571250470659,0.1289884582703476
24.638799415019168,0.02,1,2,0.7162291488728196,1.101057782129076,35.81145744364099,5505.288910645375,0.8814517256289903,0.2744123379849382
24.638799415019168,0.02,2,2,0.17070379898785856,0.2743094979358241,8.535189949392928,1371.5474896791202,0.49538332436511734,0.8274779148101328
24.638799415019168,0.01,0,2,0.745260433853972,1.3269427038528527,74.5260433853972,26538.85407705703,0.9534001167900705,0.15596673897032262
24.638799415019168,0.01,1,2,0.7614373829002823,1.345462622968169,76.14373829002824,26909.252459363368,0.8950467378225474,0.2855176059468262
24.638799415019168,0.01,2,2,0.17094869628881518,0.2877714365663972,17.09486962888153,5755.428731327944,0.47641938039816867,0.7922708623272188
24.638799415019168,0.005,0,2,0.6897397545718196,1.169428515533808,137.9479509143639,93554.28124270462,0.9673520803978312,0.18244921928660657
24.638799415019168,0.005,1,2,0.7027582211480423,1.182807521889216,140.55164422960848,94624.60175113723,0.8679872367726591,0.3149499276672774
24.638799415019168,0.005,2,2,0.18155009944333034,0.2723224065707168,36.310019888666055,21785.792525657354,0.5323477335450474,0.799802517355309
32.95911120851088,0.08,0,2,0.841891215098697,1.5040286808215633,10.523640188733713,470.0089627567385,0.975667032831733,0.09023900266614013
32.95911120851088,0.08,1,2,0.8434926684240169,1.5070096430684548,10.543658355300213,470.940513458892,0.9656855205835677,0.15784869360648707
32.95911120851088,0.08,2,2,0.1288489779644467,0.24074251567809443,1.6106122245555832,75.23203614940448,0.7812448247564439,0.4770238754725316
32.95911120851088,0.04,0,2,0.8267759654512342,1.3254218353799216,20.669399136280852,1656.7772942249019,0.9916273481345286,0.07288086267110606
32.95911120851088,0.04,1,2,0.8278881252015682,1.337313620440825,20.697203130039203,1671.642025551031,0.9882594921933374,0.144797127610993
32.95911120851088,0.04,2,2,0.11711183346966471,0.2204776442284134,2.9277958367416175,275.59705528551683,0.7778173174497036,0.4793647504873624
32.95911120851088,0.02,0,2,0.8614469739552051,1.469154880527928,43.07234869776026,7345.774402639642,0.9874967344071803,0.06808828587937989
32.95911120851088,0.02,1,2,0.8641812904114063,1.4801408127419986,43.2090645205703,7400.704063709992,0.9562237386875331,0.12990089440775202
32.95911120851088,0.02,2,2,0.1436875739069944,0.23676942140698587,7.18437869534972,1183.8471070349294,0.8068157829090205,0.4989379211790521
32.95911120851088,0.01,0,2,1.0332608726210297,1.421935409578356,103.32608726210296,28438.708191567108,0.9970701058498345,0.08782616465951637
32.95911120851088,0.01,1,2,1.0296977354477903,1.4409810281218314,102.96977354477902,28819.62056243662,0.9859860501494866,0.15592949831833597
32.95911120851088,0.01,2,2,0.15581727289559794,0.22015454464464257,15.581727289559797,4403.090892892853,0.8131737802595034,0.4989199431569164
32.95911120851088,0.005,0,2,0.9175664433677181,1.3548910796381852,183.5132886735437,108391.28637105475,0.9850248667825461,0.07717637762387473
32.95911120851088,0.005,1,2,0.9242471258671131,1.3641317033490714,184.84942517342256,109130.53626792568,0.9531608068323049,0.13917250966389644
32.95911120851088,0.005,2,2,0.11696043698064935,0.23266901262388012,23.392087396129863,18613.521009910415,0.759796876745495,0.4928612789195162
41.23033561679026,0.08,0,2,1.0193283166955358,1.7404297378298583,12.741603958694201,543.8842930718306,0.9885265722604992,0.0509145720773341
41.23033561679026,0.08,1,2,1.027583682662964,1.7429597154145706,12.84479603328705,544.6749110670536,0.9828980689001077,0.07421464054264697
41.23033561679026,0.08,2,2,0.13452089608098042,0.2644345741447679,1.6815112010122557,82.63580442023998,0.9188871882827263,0.2852740546398462
41.23033561679026,0.04,0,2,0.8759853741544986,1.3270485171055262,21.89963435386246,1658.8106463819067,0.9882838963258312,0.07919651564438132
41.23033561679026,0.04,1,2,0.8726943792067974,1.3313961325393007,21.817359480169934,1664.2451656741262,0.9756054196126415,0.11076613324591017
