omega,forcing_frequency,amplitude,output,forcing_direction,order_class,n_components_tested,n_significant_components,min_p_value,min_p_value_adjusted,min_p_value_family_adjusted,best_response_group,best_harmonic,best_component,best_sample_mean,best_ci_low,best_ci_high,any_significant,significance_alpha
8.295768100885548,1.3203125,0.005,0,2,higher_even,6,0,0.2697809837408285,0.8727576716652298,1.0,even,4,cos,0.0012047897406183526,-0.0009576427119159683,0.0033672221931526736,False,0.05
8.295768100885548,1.3203125,0.01,0,2,higher_even,6,0,0.17886893997018327,0.35773787994036654,1.0,even,4,cos,0.0014313096340950566,-0.0006727537567914642,0.003535373024981577,False,0.05
8.295768100885548,1.3203125,0.02,0,2,higher_even,6,0,0.6828601374115622,1.0,1.0,even,4,cos,-0.0004405991265872413,-0.00258566567843193,0.0017044674252574472,False,0.05
8.295768100885548,1.3203125,0.04,0,2,higher_even,6,0,0.4406466369076607,1.0,1.0,even,4,cos,0.0008118643669453591,-0.0012788064687019494,0.002902535202592668,False,0.05
8.295768100885548,1.3203125,0.08,0,2,higher_even,6,0,0.5164629147425126,1.0,1.0,even,4,cos,0.0006535738610871776,-0.0013481051163174356,0.002655252838491791,False,0.05
16.453477930861386,2.6186523437499996,0.005,0,2,higher_even,6,0,0.7378580431110409,1.0,1.0,even,4,cos,-7.508256219870843e-05,-0.0005214028391469755,0.00037123771474955854,False,0.05
16.453477930861386,2.6186523437499996,0.01,0,2,higher_even,6,0,0.8278835409172041,1.0,1.0,even,4,cos,-4.845593088884983e-05,-0.0004919808405872698,0.0003950689788095701,False,0.05
16.453477930861386,2.6186523437499996,0.02,0,2,higher_even,6,0,0.24540840145883488,1.0,1.0,even,4,cos,-0.00026300268512832015,-0.0007112466663777382,0.00018524129612109785,False,0.05
16.453477930861386,2.6186523437499996,0.04,0,2,higher_even,6,0,0.8909247911312888,1.0,1.0,even,4,cos,3.0207308597813733e-05,-0.00040820233164428753,0.000468616948839915,False,0.05
16.453477930861386,2.6186523437499996,0.08,0,2,higher_even,6,0,0.17063053336918235,1.0,1.0,even,4,cos,-0.00030572832947137955,-0.0007465257415485706,0.0001350690826058116,False,0.05
24.638799415019168,3.92138671875,0.005,0,2,higher_even,6,0,0.6480796173909491,1.0,1.0,even,4,cos,9.571384583004419e-05,-0.0003213318978986229,0.0005127595895587113,False,0.05
24.638799415019168,3.92138671875,0.01,0,2,higher_even,6,0,0.07105996162838456,0.24206421922494886,1.0,even,4,cos,0.0003821599769132382,-3.376453695425231e-05,0.0007980844907807287,False,0.05
24.638799415019168,3.92138671875,0.02,0,2,higher_even,6,0,0.5615181029014853,1.0,1.0,even,4,cos,0.00013560672240825944,-0.0003286671518294889,0.0005998805966460078,False,0.05
24.638799415019168,3.92138671875,0.04,0,2,higher_even,6,0,0.27873556998913374,1.0,1.0,even,4,cos,0.00022381820853195183,-0.00018554499684366019,0.0006331814139075638,False,0.05
24.638799415019168,3.92138671875,0.08,0,2,higher_even,6,0,0.2830267171282981,1.0,1.0,even,4,cos,0.00022872812212460354,-0.00019339887654270583,0.0006508551207919129,False,0.05
